Cliente ID,Número Secreto,Tentativas Possíveis,Tentativas Jogadas,Resultado
Roberto,88,24,1,SUCESS
Maria,99,18,1,SUCESS
Maria,86,20,0,QUIT
Maria,48,16,2,SUCESS
Maria,82,27,1,SUCESS
Maria,11,12,1,SUCESS
Maria,6,30,30,FAILURE
Maria,35,17,2,QUIT
Maria,49,18,1,SUCESS
Maria,51,26,1,SUCESS
Maria,35,25,1,QUIT
Maria,89,29,2,QUIT
Maria,100,28,1,QUIT
Maria,19,14,1,QUIT
Maria,10,14,0,QUIT
Maria,54,12,1,SUCESS
Maria,12,26,3,SUCESS
Maria,84,22,7,QUIT
Maria,67,27,7,SUCESS
Joana,61,12,0,QUIT
Joana,23,22,0,QUIT
Joana,42,13,0,QUIT
Joana,17,25,8,SUCESS
João,98,16,3,SUCESS
João,73,14,1,SUCESS
João,65,23,1,SUCESS
João,93,10,1,SUCESS
João,58,10,2,SUCESS
Maria,12,29,2,SUCESS
Catarina,86,10,6,SUCESS
Catarina,45,23,0,QUIT
Catarina,54,17,7,SUCESS
João,35,25,0,QUIT
Manel,12,11,1,SUCESS
Oscar,35,29,2,SUCESS
Oscar,28,29,1,SUCESS
Oscar,47,27,1,SUCESS
Fabio,5,16,2,SUCESS
Oscar,50,28,1,SUCESS
Oscar,27,18,1,SUCESS
Oscar,89,23,0,QUIT
Oscar,89,23,3,SUCESS
Rui,87,20,20,FAILURE
Rui,31,26,0,QUIT
Rui,59,12,12,FAILURE
Rui,36,25,2,SUCESS
Rui,22,30,0,QUIT
Rui,69,19,2,SUCESS
Rui,46,19,0,QUIT
Rui,24,21,1,SUCESS
Rui,62,20,3,SUCESS
Rui,84,19,0,QUIT
Rui,75,10,3,SUCESS
Rui,12,29,3,SUCESS
Rui,100,21,1,SUCESS
Rui,84,19,1,QUIT
paulito,59,14,1,SUCESS
paulito,66,18,1,SUCESS
rogwrio,67,18,1,SUCESS
pato,7,14,1,SUCESS
patolas,81,19,1,SUCESS
pats,16,16,1,SUCESS
pats,54,20,1,SUCESS
pats,7,21,1,SUCESS
patolas,17,28,1,SUCESS
Maluco,40,14,1,SUCESS
daniela,63,21,3,SUCESS
daniela,43,21,1,SUCESS
jalo,98,18,1,SUCESS
jalo,95,28,1,SUCESS
jalo,31,22,2,SUCESS
jalo,61,24,0,QUIT
daniela,95,16,0,QUIT
Roberto,62,23,0,QUIT
Roberto,88,28,3,SUCESS
Roberto,88,22,0,QUIT
Roberto,51,14,0,QUIT
Daniela,28,11,6,SUCESS
Daniela,85,28,0,QUIT
Daniela,24,26,26,FAILURE
Daniela,79,25,3,QUIT
Daniela,7,19,0,QUIT
Daniela,85,22,2,QUIT
Daniela,38,21,3,QUIT
gato,76,10,4,SUCESS
gato,11,29,5,SUCESS
gato,26,19,19,FAILURE
gato,64,15,4,SUCESS
gato,0,21,0,QUIT
gato,85,23,11,SUCESS
volio,4,27,1,QUIT
sofia,45,21,2,SUCESS
Manuelo,79,27,1,QUIT
Sofia,34,11,1,QUIT
joao,31,12,1,QUIT
sofia,60,11,1,QUIT
Daniel,47,15,5,QUIT
Daniel,67,30,6,SUCESS
